nct_id,overall_status,start_date,completion_date,condition,Study design info,eligibility,has_expanded_access,enrollment
NCT04517136,Recruiting,"September 14, 2020","February 14, 2021","Covid19,SARS-CoV Infection,Burnout, Caregiver,Burnout, Professional","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:60 Years",No,60
NCT04361019,Recruiting,"April 16, 2020","October 20, 2020",Physical Activity,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,25000
NCT04385251,Recruiting,"June 18, 2020","June 30, 2021","COVID,COVID19,SARS-CoV 2,Dyspnea","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,10000
NCT04339816,Recruiting,"May 13, 2020","June 30, 2022","COVID-19,Respiratory Failure","Randomized,Parallel Assignment,Prospective, multi-centre, randomised, pragmatic, double blind trial,Treatment,Triple (Participant, Care Provider, Outcomes Assessor),Visually unrecognisable IP or placebo will be prepared by dedicated unblinded study pharmacist and handed over to care provider immediately before administration","gender:All,Min Age:18 Years,Max Age:N/A",No,240
NCT04344756,Not yet recruiting,"April 20, 2020","September 30, 2020",COVID19 Pneumonia,"Randomized,Parallel Assignment,Randomized clinical trial with 2 parallels arms, 1:1, stratified on disease severity (ventilation or not),Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,808
NCT04377997,Not yet recruiting,"May 15, 2020","January 1, 2022","Cardiovascular Diseases,COVID-19","Randomized,Parallel Assignment,randomized 1:1,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,300
NCT04391127,"Active, not recruiting","May 4, 2020","September 30, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,Double (Participant, Care Provider),Two non-transparent bottles The first bottle will contain the initial treatment: Two ivermectin tablets, two hydroxychloroquine tablets, or two placebo tablets.
The second bottle will contain the follow-up treatment (10 tablets): Two tablets will be indicated, which will be take 12 hours after ingestion of the initial bottle and then one tablet every 12 hours for 4 more days. This bottle will contain placebo and hydroxychloroquine according to the corresponding group.","gender:All,Min Age:16 Years,Max Age:90 Years",No,108
NCT04324190,Recruiting,"April 8, 2020",December 2021,"COVID-19,Psychosocial Stress,Mental Health","Randomized,Sequential Assignment,Randomized controlled trial with a waiting comparator condition (provision of WHO recommendations, comparable to treatment as usual, TAU), consisting of a two weeks waiting period during which general WHO recommendations how to handle stress in the context of the COVID-19 pandemic will be provided. All subjects in the waiting condition will undergo the intervention following the waiting period. Main assessments will be conducted before the waiting period, before beginning of the intervention, two weeks after beginning of the intervention (+2 weeks), +4 weeks, +12 weeks, and follow ups at +6 months and +12 months.,Treatment,Single (Care Provider),Care providers (providing guidance) are not informed about wether participants have been assigned to the online support program condition or the comparator condition, consisting of a waiting period followed by the online support program.","gender:All,Min Age:18 Years,Max Age:N/A",No,600
NCT04499677,Recruiting,"September 24, 2020","March 1, 2021",COVID-19,"Randomized,Factorial Assignment,Randomised, double-blind, 2x2 factorial placebo-controlled,Treatment,Triple (Participant, Care Provider, Investigator),Double-blind","gender:All,Min Age:18 Years,Max Age:70 Years",No,240
NCT04466306,Enrolling by invitation,"April 15, 2020","July 1, 2021","Acute Kidney Injury,COVID","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:25 Years",No,250
NCT04413955,Recruiting,"June 1, 2020","December 31, 2021","COVID-19,SARS-CoV 2","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04575168,Not yet recruiting,October 2020,November 2020,Covid19,"Cohort,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04396353,"Active, not recruiting","June 4, 2020","January 20, 2021","COVID-19,SARS-CoV 2,Corona Virus Infection,Sedentary Behavior","Cohort,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,1574
NCT04368728,Recruiting,"April 29, 2020","December 11, 2022","SARS-CoV-2 Infection,COVID-19","Randomized,Parallel Assignment,Prevention,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:16 Years,Max Age:N/A",No,43998
NCT04371302,Not yet recruiting,"May 1, 2020","June 30, 2020","Burnout, Professional,Medical Errors,Depression","Cohort,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,145
NCT04487886,Not yet recruiting,August 2020,February 2022,COVID-19,"Randomized,Parallel Assignment,Treatment,Double (Participant, Care Provider)","gender:All,Min Age:18 Years,Max Age:N/A",No,80
NCT04323631,Withdrawn,"April 30, 2020","April 30, 2020",COVID-19,"Randomized,Sequential Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,0
NCT04358029,Recruiting,"April 9, 2020",December 2021,"COVID 19 Cardiac,COVID 16 Arrhythmia,COVID 19 Death","Case-Only,Other","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,10000
NCT04343664,Not yet recruiting,"August 1, 2020","December 31, 2020","Mental Stress,Mental Health Wellness 1,Depression,Anxiety,Behavior Problem,Emotional Problem","Ecologic or Community,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:4 Years,Max Age:N/A",No,10000
NCT04508712,Not yet recruiting,"August 10, 2020","August 31, 2021",COVID-19,"Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,900
NCT04444271,Recruiting,"May 1, 2020","September 30, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:10 Years,Max Age:N/A",No,20
NCT04362956,Recruiting,"July 10, 2020","September 30, 2020","Covid19,Pregnancy Related,Neonatal Infection","Case-Control,Prospective","sampling_method:Probability Sample,gender:Female,Min Age:N/A,Max Age:N/A",No,200
NCT04379245,Completed,"April 30, 2020","May 4, 2020","HIV,Pre-exposure Prophylaxis","Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,4200
NCT04386616,Recruiting,"June 2, 2020","March 3, 2021",COVID-19 Pneumonia,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,390
NCT04456426,Not yet recruiting,July 2020,August 2020,"COVID,SARS-CoV 2,SARS Pneumonia,SARS (Disease),SARS (Severe Acute Respiratory Syndrome)","Ecologic or Community,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:120 Years",No,250
NCT04345679,Not yet recruiting,"April 14, 2020","April 1, 2021",COVID 19,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,20
NCT04335279,Completed,"April 9, 2020","July 24, 2020","Scleroderma,Scleroderma, Systemic,Systemic Sclerosis","Randomized,Parallel Assignment,Supportive Care,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,172
NCT04343989,Recruiting,"March 31, 2020","July 1, 2020",COVID-19,"Randomized,Parallel Assignment,This is a randomized, double-blind, placebo-controlled, adaptive seamless Phase II/III design (ASD). We propose the administration of an investigational drug in patients with high predicted short-term mortality secondary to COVID-19 disease. 80 patients were randomly assigned in a 1:1:1 ratio to three study arms that will receive clazakizumab at a dose of 12.5 mg, 25 mg or placebo. Interim analyses have occurred every 7 days since the enrollment of the first 30 patients. Based on week 4 interim analysis the DSMB has recommendation discontinuing the low-dose 12.5 mg of clazakizumab arm. The DSMB has advised continuing enrollment in the placebo and high-dose 25mg of clazakizumab arms in a 1:1 randomization.,Treatment,Double (Participant, Investigator),This study is double-blind and therefore neither the Investigator, the subject, the Sponsor and its representatives, nor other designated study site personnel involved in running of the study will be aware of the identification of the investigational drug administered to each subject.","gender:All,Min Age:18 Years,Max Age:N/A",No,90
NCT04341441,Recruiting,"April 7, 2020","April 30, 2021","COVID-19,Coronavirus,Coronavirus Infections,SARS-CoV 2","Randomized,Parallel Assignment,This is a prospective, multi-site study designed to evaluate whether the use of hydroxychloroquine in healthcare workers (HCW) and first responders (FR) in southeast (SE) Michigan, can prevent the acquisition, symptoms and clinical COVID-19 infection.
The study will randomize a total of 3,000 Healthcare Workers and First Responders, age ≥18 years or older, through the Henry Ford Health System, Detroit COVID Consortium. The participants who meeting study entry criteria and are not on HCQ prior to study enrollment will be randomized in a 1:1:1 blinded comparison of daily or weekly oral hydroxychloroquine versus oral placebo for 8 weeks.
A fourth non-randomized comparator group will be enrolled in the study comprising of HCW who are chronically on HCQ as part of their standard of care for their autoimmune disease(s). This will be an open enrollment group and will provide information of chronic weight-based daily therapy of HCQ effectiveness as a prophylactic/preventive strategy.,Prevention,Triple (Participant, Care Provider, Investigator),Blinded randomization will be performed by the Henry Ford Hospital Public Health Sciences investigators once the participants are determined to be eligible for enrollment. Randomization will be stratified by study site and risk of exposure based on location of work and type of work.
Once enrolled, each Participant will be assigned a unique identifier (detailed in the full protocol). This number, along with the assigned site number, will constitute the Subject Identifier (Subject ID).","gender:All,Min Age:18 Years,Max Age:75 Years",No,3000
NCT04316728,Not yet recruiting,March 2020,November 2020,Coronavirus Infections,"N/A,Single Group Assignment,Diagnostic,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04573361,Completed,"May 2, 2020","May 27, 2020","Musculoskeletal Pain,Disability Physical,Psychological Distress","Non-Randomized,Parallel Assignment,Three arms depending on the access to chiropractic care (no access, one visit or more than one) during the 14-days period of the trial. Measures were taken at the beginning and at the end of the 14-day period.,Treatment,None (Open Label),Care was provided by chiropractors,","gender:All,Min Age:14 Years,Max Age:N/A",No,723
NCT04422769,Recruiting,"May 22, 2020","December 31, 2020",Spinal Cord Injuries,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,250
NCT04445220,Not yet recruiting,September 2020,July 2021,"COVID-19,Acute Kidney Injury","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,22
NCT04318431,Completed,"April 14, 2020","June 1, 2020",Covid19,"N/A,Single Group Assignment,Diagnostic,None (Open Label)","gender:All,Min Age:N/A,Max Age:15 Years",No,605
NCT04366063,Recruiting,"April 5, 2020","December 10, 2020",Covid-19,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:65 Years",No,60
NCT04346277,Available,N/A,N/A,N/A,N/A,"gender:All,Min Age:18 Years,Max Age:70 Years",N/A,N/A
NCT04355611,Recruiting,"April 20, 2020","April 20, 2022","Multiple Sclerosis,NMO Spectrum Disorder,COVID-19","Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,2000
NCT04333420,Recruiting,"March 31, 2020","August 31, 2021",Severe COVID-19 Pneumonia,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator),Phase II: Open label study (30 patients) Phase III: Double- blind; (360 patients)","gender:All,Min Age:18 Years,Max Age:N/A",No,390
NCT04331054,Recruiting,"April 13, 2020","January 13, 2022","Covid-19 Infection,Hospitalization in Respiratory Disease Department","Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:75 Years",No,436
NCT04386850,Recruiting,"April 14, 2020","March 15, 2021",COVID 19,"Randomized,Parallel Assignment,This is a multicenter randomized double-blinded placebo-controlled clinical trial with parallel groups and allocation 1:1.,Prevention,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor),All subjects in a stratified random sampling method based on age, sex, BMI and serum level of 25(OH)D (<10 ng/dL vs 10 to <20 ng/dL) with serum calcium <=10.6 mg/dL will be recruited in the 25(OH)D3 or placebo group. The clinical coordinator will determine this with a computer-generated randomization program. Subjects in the case group will receive 25 mcg of 25(OH)D3 once daily at bedtime for 2 months and the control group will receive placebo daily for 2 months.","gender:All,Min Age:18 Years,Max Age:75 Years",No,1500
NCT04341103,Not yet recruiting,"April 1, 2020","March 1, 2021","Solid Organ Transplant Rejection,COVID-19","Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,500
NCT04568876,Not yet recruiting,October 2020,November 2021,Covid19,"Randomized,Parallel Assignment,Supportive Care,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,40
NCT04381936,Recruiting,"March 19, 2020",December 2031,Severe Acute Respiratory Syndrome,"Randomized,Factorial Assignment,Main randomisation (part A): Eligible patients will be randomly allocated between the available treatment arms.
Main randomisation (part B): Simultaneously, eligible patients will be randomly allocated between convalescent plasma, synthetic neutralizing antibodies or no additional treatment.
Subsequent randomisation: Participants with progressive COVID-19 (as evidenced by hypoxia and an inflammatory state) may undergo an optional second randomisation.,Treatment,None (Open Label)","gender:All,Min Age:N/A,Max Age:N/A",No,15000
NCT04389385,"Active, not recruiting","May 1, 2020","May 31, 2021","Corona Virus Infection,Pneumonia","N/A,Single Group Assignment,Supportive Care,None (Open Label)","gender:All,Min Age:18 Years,Max Age:75 Years",No,60
NCT04448717,Recruiting,"June 16, 2020",March 2021,"SARS-CoV 2,COVID-19","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:5 Years,Max Age:N/A",No,8000
NCT04425382,Recruiting,"March 1, 2020",September 2020,"Coronavirus,COVID,Pneumonia","Other,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04443075,Recruiting,"June 24, 2020","August 30, 2020","Stress Disorders, Post-Traumatic","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:50 Years",No,180
NCT04341727,Suspended,"April 4, 2020","August 1, 2021",Coronavirus Infection,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04377750,Recruiting,"April 8, 2020","May 8, 2021",Covid19 Pneumonia,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04409275,Recruiting,"May 21, 2020","July 31, 2021",Pulmonary Fibrosis,"Case-Only,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:90 Years",No,500
NCT04403100,Recruiting,"June 3, 2020","November 28, 2020","COVID-19,Coronavirus Infection,Virus Disease,Acute Respiratory Infection,SARS-CoV Infection","Randomized,Factorial Assignment,Patients will be randomly allocated to one of four treatment arms in a 1:1:1:1 ratio:
Lopinavir / Ritonavir
Hydroxychloroquine
Lopinavir / Ritonavir + Hydroxychloroquine
Placebo.
We will use a centralized random allocation schedule, generated by computer and implemented using an online remote access system. Randomization will be stratified by participating basic health unit.,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor),The investigational medical product will be packaged in similar bottles by a third party who will keep the allocation confidential until the end of the study. The bottles will be sealed and identified as ""Research Product A, B and C"" and with different colored labels. They will be randomly allocated among the participants. The research subjects, medical assistance, administrative and health staff will not have access to the contents of the bottles. The Arm Lopinavir/ ritonavir plus hydroxychloroquine will receive two of such bottles.
At the end of the study, after the statistical analysis and DMSB meeting, it will then be requested from third party documentation on content of each bottle and then have arms identified.","gender:All,Min Age:18 Years,Max Age:N/A",No,1968
NCT04340349,Enrolling by invitation,"May 11, 2020","August 20, 2020","Hydroxychloroquine,Antimalarials,Enzyme Inhibitors,Antirheumatic Agents","Randomized,Parallel Assignment,Parallel Assignment,Prevention,Triple (Participant, Care Provider, Investigator),DOUBLE BLINDED","gender:All,Min Age:18 Years,Max Age:N/A",No,140
NCT04560205,Recruiting,"May 1, 2020","October 30, 2020",SARS-CoV Infection,"N/A,Single Group Assignment,quasi-experimental,Treatment,None (Open Label)","gender:All,Min Age:15 Years,Max Age:80 Years",No,50
NCT04452422,Recruiting,"June 23, 2020","September 23, 2020",Deep Venous Thrombosis,"Case-Only,Other","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04350320,Recruiting,"April 30, 2020","November 20, 2020",COVID19,"Randomized,Parallel Assignment,Phase III, prospective, randomized, controlled, open-label and pragmatic trial, comparing the administration of colchicine plus standard treatment vs. standard therapy, in hospitalized patients with COVID-19, within the first 48 hours, and no severity criteria,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,102
NCT04345445,Not yet recruiting,"April 15, 2020","October 31, 2020",COVID-19,"Randomized,Crossover Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,310
NCT04367870,Recruiting,"May 23, 2020",May 2021,Oncology,"Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,2500
NCT04416464,Not yet recruiting,"June 15, 2020","October 1, 2022","Quality of Life,Long-term Outcomes,Coronavirus Infection,Morality,Rehospitalization","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,230
NCT04493242,Not yet recruiting,"September 1, 2020","December 31, 2020","Covid19,ARDS,Pneumonia, Viral","Randomized,Parallel Assignment,Multi-center, placebo-controlled, randomized clinical trial.,Treatment,Single (Investigator)","gender:All,Min Age:18 Years,Max Age:85 Years",N/A,60
NCT04381338,Not yet recruiting,"May 10, 2020","September 30, 2020","Corona Virus Disease 19 (COVID-19),COVID,Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS),Critical Illness","Non-Randomized,Parallel Assignment,Clustered, due to catchment area of Hospital with no chance of contamination because of lock down in the area.,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,92
NCT04273763,"Active, not recruiting","February 16, 2020","June 1, 2020","Novel Coronavirus Pneumonia,2019-nCoV","Randomized,Sequential Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:80 Years",No,18
NCT04470609,Enrolling by invitation,"July 10, 2020",November 2021,COVID-19,"Randomized,Parallel Assignment,Prevention,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:60 Years,Max Age:N/A",No,471
NCT04563065,Recruiting,"August 1, 2020","December 31, 2023","Pregnancy Complications,Pregnancy, High Risk,Pregnancy Induced Hypertension,Newborn Morbidity,Fetal Growth Retardation,Fetus Disorder,Weight Gain, Maternal,Maternal-Fetal Relations","Randomized,Parallel Assignment,Prevention,Single (Outcomes Assessor)","gender:Female,Min Age:18 Years,Max Age:50 Years",No,280
NCT04449783,Recruiting,"June 25, 2020","September 25, 2020","Covid19,Cancer","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,150
NCT04369469,Recruiting,"May 11, 2020",February 2021,"COVID-19 Severe Pneumonia,Acute Lung Injury,Acute Respiratory Distress Syndrome,Pneumonia, Viral","Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,270
NCT04550312,Recruiting,September 2020,October 2020,"Lifestyle Alteration,Non-COVID Deaths","Other,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,80000
NCT04408391,Withdrawn,"May 20, 2020","July 6, 2020","Covid-19,Anosmia","Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,0
NCT03808922,Recruiting,"May 23, 2019","December 28, 2021","Lower Respiratory Tract Infection,Parainfluenza,Immunocompromised,COVID-19","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:N/A,Max Age:N/A",No,250
NCT04407169,Not yet recruiting,"June 1, 2020","August 1, 2020",COVID,"Cohort,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04466657,Not yet recruiting,"November 1, 2020","April 30, 2021",Covid-19,"Randomized,Parallel Assignment,Supportive Care,Single (Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:75 Years",No,90
NCT04361942,Recruiting,April 2020,"December 31, 2020",COVID-19 Pneumonia,"Randomized,Parallel Assignment,Treatment,Triple (Participant, Care Provider, Investigator),Both experimental and Placebo will receive a similar endovenous injection with either cells or placebo. Blind to participant, investigator ans care providers","gender:All,Min Age:18 Years,Max Age:N/A",No,24
NCT04421625,Recruiting,"June 15, 2020","June 15, 2022",COVID-19,"N/A,Single Group Assignment,Screening,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,12000
NCT04372056,Recruiting,"May 6, 2020","May 6, 2021","COVID-19,Critical Care,Intensive Care Units,Health Personnel","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:20 Years,Max Age:N/A",No,2200
NCT04361344,Recruiting,"May 19, 2020","January 19, 2021","COVID-19 Infection,Encephalitis","N/A,Single Group Assignment,Prospective, descriptive, monocentric, non-controlled study,Diagnostic,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04507230,Recruiting,"August 7, 2020",October 2020,Coagulopathy,"Cohort,Cross-Sectional","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,100
NCT04536935,Not yet recruiting,September 2020,December 2020,"Depression,Anxiety,Emotional Regulation","Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:19 Years,Max Age:N/A",No,2000
NCT04438967,Recruiting,"June 16, 2020","December 31, 2020",Brain Health,"Cohort,Other","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,10000
NCT04498546,Recruiting,"July 20, 2020","September 30, 2021",Exercise Test,"Other,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:65 Years",No,60
NCT04428801,Not yet recruiting,"August 1, 2020","October 30, 2021",COVID-19,"Randomized,Parallel Assignment,The Phase 2 study is a randomized, double-blind, placebo-control study conducted in multiple clinic facilities.,Treatment,Double (Participant, Outcomes Assessor),Patients and evaluators","gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04445389,Recruiting,"June 17, 2020","June 17, 2022",SARS-CoV-2,"Randomized,Parallel Assignment,Prevention,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:50 Years",No,210
NCT04373213,Not yet recruiting,"May 5, 2020","June 15, 2020",Pleth Variability Index,"Case-Control,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04512300,Completed,"June 15, 2020","June 25, 2020",Dental Treatment During Covid -19,"Other,Cross-Sectional","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,267
NCT04374058,"Active, not recruiting","March 20, 2020",March 2021,End Stage Renal Disease,"Case-Control,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:85 Years",No,50
NCT04480957,Recruiting,"August 4, 2020",January 2021,SARS-CoV-2,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:21 Years,Max Age:80 Years",No,92
NCT04392414,Completed,"May 1, 2020","September 23, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:75 Years",No,60
NCT04392245,Completed,"April 15, 2020","April 26, 2020",Proctologic Practice During COVID-19,"Other,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,1050
NCT04477902,Recruiting,"July 1, 2020","July 1, 2022","Covid19,Corona Virus Infection,Quality of Life,Risk Reduction","Ecologic or Community,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:100 Years",No,50000
NCT04325646,Recruiting,"March 13, 2020","February 28, 2023","SARS (Severe Acute Respiratory Syndrome),COVID-19","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:5 Years,Max Age:N/A",No,2000
NCT04403828,Completed,"May 20, 2020","July 15, 2020",COVID 19,"Cohort,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:75 Years",No,323
NCT04336761,Recruiting,"April 15, 2020",January 2021,"Coronavirus,COVID,Infection Viral","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:18 Years",No,914
NCT04470427,Recruiting,"July 27, 2020","October 27, 2022",SARS-CoV-2,"Randomized,Parallel Assignment,Prevention,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,30000
NCT04346979,Not yet recruiting,"August 1, 2020","November 1, 2020",Telerehabilitation,"Randomized,Parallel Assignment,Treatment,Single (Participant)","gender:Female,Min Age:45 Years,Max Age:65 Years",No,50
NCT04379375,Terminated,"July 27, 2020","September 30, 2020","Health Behavior,COVID-19","Randomized,Parallel Assignment,Prevention,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,45
